CO2,N,Fe,Tube,Poids vide (g),Masse fraiche (g),Nombre de rosette par tube,MF sans le tube (g),ShootBiomass.g
ACO2,"0,5 mM",-Fe,1,6.2847,6.4983,1,0.2136,0.2136
ACO2,"0,5 mM",-Fe,2,6.3042,6.5621,2,0.2579,0.12895
ACO2,"0,5 mM",-Fe,3,6.3032,6.5599,2,0.256699999999999,0.12835
ACO2,"0,5 mM",-Fe,4,6.33,6.6312,2,0.3012,0.1506
ACO2,"0,5 mM",-Fe,5,6.2674,6.5963,2,0.3289,0.16445
ACO2,"0,5 mM",-Fe,6,6.3139,6.4551,1,0.1412,0.1412
ACO2,"0,5 mM",-Fe,7,6.3022,6.5428,2,0.2406,0.1203
ACO2,"0,5 mM",-Fe,8,6.3152,6.6885,2,0.3733,0.18665
ACO2,"0,5 mM",-Fe,9,6.2911,6.5787,2,0.2876,0.1438
ACO2,"0,5 mM",-Fe,10,6.2948,6.5547,2,0.2599,0.12995
ACO2,"0,5 mM",-Fe,11,6.3478,6.6186,2,0.270799999999999,0.1354
ACO2,"0,5 mM",-Fe,12,6.3084,6.6288,2,0.3204,0.1602
ACO2,"0,5 mM",-Fe,13,6.3003,6.5666,2,0.2663,0.13315
ACO2,"0,5 mM",-Fe,14,6.37,6.6413,2,0.2713,0.13565
ACO2,"0,5 mM",-Fe,15,6.3129,6.5938,2,0.2809,0.14045
ACO2,"0,5 mM",+Fe,16,6.3389,6.7103,2,0.3714,0.1857
ACO2,"0,5 mM",+Fe,17,6.3591,6.6738,2,0.3147,0.15735
ACO2,"0,5 mM",+Fe,18,6.3406,6.8207,2,0.4801,0.24005
ACO2,"0,5 mM",+Fe,19,6.3381,6.7019,2,0.3638,0.1819
ACO2,"0,5 mM",+Fe,20,6.3047,6.6197,1,0.314999999999999,0.314999999999999
ACO2,"0,5 mM",+Fe,21,6.2847,6.6978,2,0.4131,0.20655
ACO2,"0,5 mM",+Fe,22,6.3104,6.7529,2,0.442500000000001,0.22125
ACO2,"0,5 mM",+Fe,23,6.2853,6.7381,2,0.4528,0.2264
ACO2,"0,5 mM",+Fe,24,6.3294,6.5606,1,0.2312,0.2312
ACO2,"0,5 mM",+Fe,25,6.3046,6.5795,2,0.274900000000001,0.13745
ACO2,"0,5 mM",+Fe,26,6.2826,NA,1,,
ACO2,"0,5 mM",+Fe,27,6.2984,6.6035,2,0.3051,0.15255
ACO2,"0,5 mM",+Fe,28,6.3095,6.6637,2,0.354200000000001,0.1771
ACO2,"0,5 mM",+Fe,29,6.3024,6.6421,2,0.339700000000001,0.16985
ACO2,"0,5 mM",+Fe,30,6.2966,6.6624,2,0.3658,0.1829
ACO2,10 mM,-Fe,31,6.3256,6.5494,1,0.223800000000001,0.223800000000001
ACO2,10 mM,-Fe,32,6.3212,6.6296,1,0.3084,0.3084
ACO2,10 mM,-Fe,33,6.3214,6.75,2,0.4286,0.2143
ACO2,10 mM,-Fe,34,6.3145,6.6013,1,0.2868,0.2868
ACO2,10 mM,-Fe,35,6.2777,6.483,1,0.205299999999999,0.205299999999999
ACO2,10 mM,-Fe,36,6.3019,6.6473,1,0.345400000000001,0.345400000000001
ACO2,10 mM,-Fe,37,6.2859,6.6391,1,0.3532,0.3532
ACO2,10 mM,-Fe,38,6.3072,6.5401,1,0.2329,0.2329
