Tube	Bassine	BassineUnique	GenotypeNum	Location	Genotype	CO2	Germination
1	1	1 4	1	A	COL	E	yes
2	1	1 4	2	B	ATL31	E	yes
3	1	1 4	1	C	COL	E	yes
4	1	1 4	3	D	OE-ATL31	E	yes
5	1	1 4	2	E	ATL31	E	yes
6	1	1 4	3	F	OE-ATL31	E	yes
7	1	1 4	2	G	ATL31	E	yes
8	1	1 4	2	H	ATL31	E	yes
9	1	1 4	1	I	COL	E	yes
10	1	1 4	2	J	ATL31	E	yes
11	1	1 4	3	K	OE-ATL31	E	yes
12	1	1 4	1	L	COL	E	yes
13	1	1 4	3	M	OE-ATL31	E	yes
14	1	1 4	3	N	OE-ATL31	E	yes
15	1	1 4	2	O	ATL31	E	yes
16	1	1 4	1	P	COL	E	yes
17	1	1 4	1	Q	COL	E	yes
18	1	1 4	3	R	OE-ATL31	E	yes
19	2	2 5	2	A	ATL31	E	yes
20	2	2 5	3	B	OE-ATL31	E	yes
21	2	2 5	3	C	OE-ATL31	E	yes
22	2	2 5	1	D	COL	E	yes
23	2	2 5	3	E	OE-ATL31	E	yes
24	2	2 5	2	F	ATL31	E	yes
25	2	2 5	1	G	COL	E	yes
26	2	2 5	3	H	OE-ATL31	E	yes
27	2	2 5	1	I	COL	E	yes
28	2	2 5	1	J	COL	E	yes
29	2	2 5	3	K	OE-ATL31	E	yes
30	2	2 5	2	L	ATL31	E	yes
31	2	2 5	1	M	COL	E	yes
32	2	2 5	2	N	ATL31	E	yes
33	2	2 5	2	O	ATL31	E	yes
34	2	2 5	1	P	COL	E	yes
35	2	2 5	3	Q	OE-ATL31	E	yes
36	2	2 5	2	R	ATL31	E	yes
37	3	3 6	3	A	OE-ATL31	E	yes
38	3	3 6	3	B	OE-ATL31	E	yes
39	3	3 6	1	C	COL	E	yes
40	3	3 6	1	D	COL	E	yes
41	3	3 6	3	E	OE-ATL31	E	yes
42	3	3 6	2	F	ATL31	E	yes
43	3	3 6	2	G	ATL31	E	yes
44	3	3 6	1	H	COL	E	yes
45	3	3 6	2	I	ATL31	E	yes
46	3	3 6	3	J	OE-ATL31	E	yes
47	3	3 6	3	K	OE-ATL31	E	yes
48	3	3 6	2	L	ATL31	E	yes
49	3	3 6	2	M	ATL31	E	yes
50	3	3 6	3	N	OE-ATL31	E	yes
51	3	3 6	2	O	ATL31	E	yes
52	3	3 6	1	P	COL	E	yes
53	3	3 6	1	Q	COL	E	yes
54	3	3 6	1	R	COL	E	yes
55	4	1 4	1	A	COL	A	yes
56	4	1 4	2	B	ATL31	A	yes
57	4	1 4	1	C	COL	A	yes
58	4	1 4	3	D	OE-ATL31	A	yes
59	4	1 4	2	E	ATL31	A	yes
60	4	1 4	3	F	OE-ATL31	A	yes
61	4	1 4	2	G	ATL31	A	yes
62	4	1 4	2	H	ATL31	A	yes
63	4	1 4	1	I	COL	A	yes
