Tube;TubeVide;MasseSeche
;Date 15.07.2022  Heure 13:10:24;Date 08.08.2022  Heure 12:37:16
1;N         :    +   1.3230 g;N         :    +   1.3471 g
;Date 15.07.2022  Heure 13:12:24;Date 08.08.2022  Heure 12:37:36
2;N         :    +   1.3180 g;N         :    +   1.3358 g
;Date 15.07.2022  Heure 13:12:43;Date 08.08.2022  Heure 12:40:40
3;N         :    +   1.3206 g;N         :    +   1.3496 g
;Date 15.07.2022  Heure 13:12:54;Date 08.08.2022  Heure 12:41:00
4;N         :    +   1.3187 g;N         :    +   1.3397 g
;Date 15.07.2022  Heure 13:13:04;Date 08.08.2022  Heure 12:41:16
5;N         :    +   1.3166 g;N         :    +   1.3325 g
;Date 15.07.2022  Heure 13:13:14;Date 08.08.2022  Heure 12:41:36
6;N         :    +   1.3149 g;N         :    +   1.3340 g
;Date 15.07.2022  Heure 13:13:23;Date 08.08.2022  Heure 12:41:54
7;N         :    +   1.3190 g;N         :    +   1.3473 g
;Date 15.07.2022  Heure 13:13:35;Date 08.08.2022  Heure 12:42:14
8;N         :    +   1.3185 g;N         :    +   1.3369 g
;Date 15.07.2022  Heure 13:13:43;Date 08.08.2022  Heure 12:42:27
9;N         :    +   1.3266 g;N         :    +   1.3499 g
;Date 15.07.2022  Heure 13:13:54;Date 08.08.2022  Heure 12:42:42
10;N         :    +   1.3206 g;N         :    +   1.3426 g
;Date 15.07.2022  Heure 13:14:06;Date 08.08.2022  Heure 12:42:59
11;N         :    +   1.3277 g;N         :    +   1.3441 g
;Date 15.07.2022  Heure 13:14:15;Date 08.08.2022  Heure 12:43:14
12;N         :    +   1.3155 g;N         :    +   1.3352 g
;Date 15.07.2022  Heure 13:14:24;Date 08.08.2022  Heure 12:43:30
13;N         :    +   1.3182 g;N         :    +   1.3380 g
;Date 15.07.2022  Heure 13:14:33;Date 08.08.2022  Heure 12:43:54
14;N         :    +   1.3134 g;N         :    +   1.3306 g
;Date 15.07.2022  Heure 13:14:41;Date 08.08.2022  Heure 12:44:04
15;N         :    +   1.3243 g;N         :    +   1.3443 g
;Date 15.07.2022  Heure 13:14:50;Date 08.08.2022  Heure 12:44:17
16;N         :    +   1.3288 g;N         :    +   1.3538 g
;Date 15.07.2022  Heure 13:14:57;Date 08.08.2022  Heure 12:44:38
17;N         :    +   1.3215 g;N         :    +   1.3454 g
;Date 15.07.2022  Heure 13:15:05;Date 08.08.2022  Heure 12:44:53
18;N         :    +   1.3176 g;N         :    +   1.3332 g
;Date 15.07.2022  Heure 13:15:14;Date 08.08.2022  Heure 12:45:18
19;N         :    +   1.3181 g;N         :    +   1.3442 g
;Date 15.07.2022  Heure 13:15:23;Date 08.08.2022  Heure 12:45:31
