ID;Tube_vide;Tube_masse_fraiche;Tube_masse_seche
1;Date 24.02.2022  Heure 14:30:51;Date 25.02.2022  Heure 15:18:09;Date 02.03.2022  Heure 13:00:06
1;N         :    +   1.3032 g;N         :    +   1.3970 g;N         :    +   1.3114 g
2;Date 24.02.2022  Heure 14:31:01;Date 25.02.2022  Heure 15:18:40;Date 02.03.2022  Heure 13:00:18
2;N         :    +   1.3125 g;N         :    +   1.4522 g;N         :    +   1.3232 g
3;Date 24.02.2022  Heure 14:31:16;Date 25.02.2022  Heure 15:19:12;Date 02.03.2022  Heure 13:00:34
3;N         :    +   1.3066 g;N         :    +   1.4432 g;N         :    +   1.3185 g
4;Date 24.02.2022  Heure 14:31:26;Date 25.02.2022  Heure 15:19:23;Date 02.03.2022  Heure 13:00:45
4;N         :    +   1.2990 g;N         :    +   1.3686 g;N         :    +   1.3055 g
5;Date 24.02.2022  Heure 14:31:39;Date 25.02.2022  Heure 15:19:30;Date 02.03.2022  Heure 13:00:54
5;N         :    +   1.3084 g;N         :    +   1.4810 g;N         :    +   1.3228 g
6;Date 24.02.2022  Heure 14:31:51;Date 25.02.2022  Heure 15:19:41;Date 02.03.2022  Heure 13:01:06
6;N         :    +   1.3112 g;N         :    +   1.4277 g;N         :    +   1.3209 g
7;Date 24.02.2022  Heure 14:32:02;Date 25.02.2022  Heure 15:19:48;Date 02.03.2022  Heure 13:01:18
7;N         :    +   1.3078 g;N         :    +   1.4047 g;N         :    +   1.3162 g
8;Date 24.02.2022  Heure 14:32:13;Date 25.02.2022  Heure 15:19:59;Date 02.03.2022  Heure 13:01:26
8;N         :    +   1.3009 g;N         :    +   1.4192 g;N         :    +   1.3111 g
9;Date 24.02.2022  Heure 14:32:24;Date 25.02.2022  Heure 15:20:07;Date 02.03.2022  Heure 13:01:38
9;N         :    +   1.3039 g;N         :    +   1.4283 g;N         :    +   1.3150 g
10;Date 24.02.2022  Heure 14:32:38;Date 25.02.2022  Heure 15:20:17;Date 02.03.2022  Heure 13:01:49
10;N         :    +   1.3049 g;N         :    +   1.4758 g;N         :    +   1.3186 g
11;Date 24.02.2022  Heure 14:32:50;Date 25.02.2022  Heure 15:20:27;Date 02.03.2022  Heure 13:02:02
11;N         :    +   1.3106 g;N         :    +   1.4857 g;N         :    +   1.3247 g
12;Date 24.02.2022  Heure 14:33:04;NA;NA
12;N         :    +   1.3060 g;NA;NA
13;Date 24.02.2022  Heure 14:33:14;Date 25.02.2022  Heure 15:20:41;Date 02.03.2022  Heure 13:02:27
13;N         :    +   1.3008 g;N         :    +   1.4237 g;N         :    +   1.3117 g
14;Date 24.02.2022  Heure 14:33:26;Date 25.02.2022  Heure 15:20:51;Date 02.03.2022  Heure 13:02:39
14;N         :    +   1.3010 g;N         :    +   1.4370 g;N         :    +   1.3121 g
15;Date 24.02.2022  Heure 14:33:38;Date 25.02.2022  Heure 15:21:00;Date 02.03.2022  Heure 13:02:53
15;N         :    +   1.3020 g;N         :    +   1.4049 g;N         :    +   1.3099 g
16;Date 24.02.2022  Heure 14:33:46;Date 25.02.2022  Heure 15:21:12;Date 02.03.2022  Heure 13:03:06
16;N         :    +   1.3030 g;N         :    +   1.4268 g;N         :    +   1.3135 g
17;Date 24.02.2022  Heure 14:33:58;Date 25.02.2022  Heure 15:21:21;Date 02.03.2022  Heure 13:03:20
17;N         :    +   1.3062 g;N         :    +   1.3929 g;N         :    +   1.3134 g
18;Date 24.02.2022  Heure 14:34:12;Date 25.02.2022  Heure 15:21:29;Date 02.03.2022  Heure 13:03:30
18;N         :    +   1.2995 g;N         :    +   1.4322 g;N         :    +   1.3109 g
19;Date 24.02.2022  Heure 14:34:22;Date 25.02.2022  Heure 15:21:38;Date 02.03.2022  Heure 13:03:44
19;N         :    +   1.3080 g;N         :    +   1.4370 g;N         :    +   1.3184 g
20;Date 24.02.2022  Heure 14:34:33;Date 25.02.2022  Heure 15:21:47;Date 02.03.2022  Heure 13:03:55
20;N         :    +   1.3134 g;N         :    +   1.4426 g;N         :    +   1.3242 g
21;Date 24.02.2022  Heure 14:34:43;Date 25.02.2022  Heure 15:21:58;Date 02.03.2022  Heure 13:04:09
21;N         :    +   1.3041 g;N         :    +   1.3955 g;N         :    +   1.3120 g
22;Date 24.02.2022  Heure 14:34:52;Date 25.02.2022  Heure 15:22:07;Date 02.03.2022  Heure 13:04:20
22;N         :    +   1.3086 g;N         :    +   1.4466 g;N         :    +   1.3198 g
23;Date 24.02.2022  Heure 14:35:01;Date 25.02.2022  Heure 15:22:17;Date 02.03.2022  Heure 13:04:31
23;N         :    +   1.3014 g;N         :    +   1.4160 g;N         :    +   1.3116 g
24;Date 24.02.2022  Heure 14:35:11;Date 25.02.2022  Heure 15:22:26;Date 02.03.2022  Heure 13:04:47
24;N         :    +   1.2998 g;N         :    +   1.4196 g;N         :    +   1.3101 g
25;Date 24.02.2022  Heure 14:35:22;Date 25.02.2022  Heure 15:22:47;Date 02.03.2022  Heure 13:04:59
25;N         :    +   1.3009 g;N         :    +   1.4773 g;N         :    +   1.3161 g
26;Date 24.02.2022  Heure 14:35:32;Date 25.02.2022  Heure 15:22:59;Date 02.03.2022  Heure 13:05:11
26;N         :    +   1.3008 g;N         :    +   1.4192 g;N         :    +   1.3111 g
27;Date 24.02.2022  Heure 14:35:55;Date 25.02.2022  Heure 15:23:12;Date 02.03.2022  Heure 13:05:22
27;N         :    +   1.2993 g;N         :    +   1.4717 g;N         :    +   1.3138 g
28;Date 24.02.2022  Heure 14:36:04;Date 25.02.2022  Heure 15:23:23;Date 02.03.2022  Heure 13:05:33
28;N         :    +   1.3071 g;N         :    +   1.4457 g;N         :    +   1.3190 g
29;Date 24.02.2022  Heure 14:36:13;Date 25.02.2022  Heure 15:23:34;Date 02.03.2022  Heure 13:05:46
29;N         :    +   1.3065 g;N         :    +   1.3932 g;N         :    +   1.3145 g
30;Date 24.02.2022  Heure 14:36:20;Date 25.02.2022  Heure 15:23:52;Date 02.03.2022  Heure 13:06:02
