Tube	CO2	Bassine	BassineUnique	GenotypeNum	Location	Genotype
1	A	1	1 7	5	A	BHLH
2	A	1	1 7	5	B	BHLH
3	A	1	1 7	4	C	WRKY59
4	A	1	1 7	2	D	MYB85
5	A	1	1 7	1	E	COL
6	A	1	1 7	3	F	MYB15
7	A	1	1 7	4	G	WRKY59
8	A	1	1 7	6	H	WOX11
9	A	1	1 7	2	I	MYB85
10	A	1	1 7	4	J	WRKY59
11	A	1	1 7	2	K	MYB85
12	A	1	1 7	3	L	MYB15
13	A	1	1 7	1	M	COL
14	A	1	1 7	6	N	WOX11
15	A	1	1 7	1	O	COL
16	A	1	1 7	3	P	MYB15
17	A	1	1 7	6	Q	WOX11
18	A	1	1 7	5	R	BHLH
19	A	2	2 8	6	A	WOX11
20	A	2	2 8	4	B	WRKY59
21	A	2	2 8	1	C	COL
22	A	2	2 8	6	D	WOX11
23	A	2	2 8	4	E	WRKY59
24	A	2	2 8	3	F	MYB15
25	A	2	2 8	2	G	MYB85
26	A	2	2 8	4	H	WRKY59
27	A	2	2 8	6	I	WOX11
28	A	2	2 8	2	J	MYB85
29	A	2	2 8	5	K	BHLH
30	A	2	2 8	5	L	BHLH
31	A	2	2 8	3	M	MYB15
32	A	2	2 8	1	N	COL
33	A	2	2 8	3	O	MYB15
34	A	2	2 8	5	P	BHLH
35	A	2	2 8	1	Q	COL
36	A	2	2 8	2	R	MYB85
37	A	3	3 9	1	A	COL
38	A	3	3 9	6	B	WOX11
39	A	3	3 9	3	C	MYB15
40	A	3	3 9	5	D	BHLH
41	A	3	3 9	5	E	BHLH
42	A	3	3 9	5	F	BHLH
43	A	3	3 9	4	G	WRKY59
44	A	3	3 9	3	H	MYB15
45	A	3	3 9	3	I	MYB15
46	A	3	3 9	4	J	WRKY59
47	A	3	3 9	2	K	MYB85
48	A	3	3 9	2	L	MYB85
49	A	3	3 9	4	M	WRKY59
50	A	3	3 9	6	N	WOX11
51	A	3	3 9	6	O	WOX11
52	A	3	3 9	1	P	COL
53	A	3	3 9	2	Q	MYB85
54	A	3	3 9	1	R	COL
55	A	4	4 10	3	A	MYB15
56	A	4	4 10	2	B	MYB85
57	A	4	4 10	2	C	MYB85
58	A	4	4 10	4	D	WRKY59
59	A	4	4 10	2	E	MYB85
60	A	4	4 10	5	F	BHLH
61	A	4	4 10	1	G	COL
62	A	4	4 10	3	H	MYB15
63	A	4	4 10	1	I	COL
64	A	4	4 10	6	J	WOX11
65	A	4	4 10	4	K	WRKY59
66	A	4	4 10	6	L	WOX11
67	A	4	4 10	6	M	WOX11
68	A	4	4 10	5	N	BHLH
69	A	4	4 10	5	O	BHLH
70	A	4	4 10	3	P	MYB15
71	A	4	4 10	4	Q	WRKY59
72	A	4	4 10	1	R	COL
73	A	5	5 11	4	A	WRKY59
74	A	5	5 11	4	B	WRKY59
75	A	5	5 11	1	C	COL
76	A	5	5 11	3	D	MYB15
77	A	5	5 11	6	E	WOX11
78	A	5	5 11	3	F	MYB15
79	A	5	5 11	5	G	BHLH
80	A	5	5 11	5	H	BHLH
81	A	5	5 11	6	I	WOX11
82	A	5	5 11	2	J	MYB85
83	A	5	5 11	3	K	MYB15
84	A	5	5 11	1	L	COL
85	A	5	5 11	2	M	MYB85
86	A	5	5 11	1	N	COL
87	A	5	5 11	6	O	WOX11
88	A	5	5 11	5	P	BHLH
89	A	5	5 11	4	Q	WRKY59
90	A	5	5 11	2	R	MYB85
91	A	6	6 12	3	A	MYB15
92	A	6	6 12	5	B	BHLH
93	A	6	6 12	6	C	WOX11
94	A	6	6 12	4	D	WRKY59
95	A	6	6 12	3	E	MYB15
96	A	6	6 12	5	F	BHLH
97	A	6	6 12	6	G	WOX11
98	A	6	6 12	5	H	BHLH
99	A	6	6 12	6	I	WOX11
100	A	6	6 12	2	J	MYB85
101	A	6	6 12	4	K	WRKY59
102	A	6	6 12	1	L	COL
103	A	6	6 12	1	M	COL
104	A	6	6 12	4	N	WRKY59
105	A	6	6 12	3	O	MYB15
106	A	6	6 12	1	P	COL
107	A	6	6 12	2	Q	MYB85
108	A	6	6 12	2	R	MYB85
109	E	7	1 7	5	A	BHLH
110	E	7	1 7	5	B	BHLH
111	E	7	1 7	4	C	WRKY59
112	E	7	1 7	2	D	MYB85
113	E	7	1 7	1	E	COL
114	E	7	1 7	3	F	MYB15
115	E	7	1 7	4	G	WRKY59
116	E	7	1 7	6	H	WOX11
117	E	7	1 7	2	I	MYB85
118	E	7	1 7	4	J	WRKY59
119	E	7	1 7	2	K	MYB85
120	E	7	1 7	3	L	MYB15
121	E	7	1 7	1	M	COL
122	E	7	1 7	6	N	WOX11
123	E	7	1 7	1	O	COL
124	E	7	1 7	3	P	MYB15
125	E	7	1 7	6	Q	WOX11
126	E	7	1 7	5	R	BHLH
127	E	8	2 8	6	A	WOX11
128	E	8	2 8	4	B	WRKY59
129	E	8	2 8	1	C	COL
130	E	8	2 8	6	D	WOX11
131	E	8	2 8	4	E	WRKY59
132	E	8	2 8	3	F	MYB15
133	E	8	2 8	2	G	MYB85
134	E	8	2 8	4	H	WRKY59
135	E	8	2 8	6	I	WOX11
136	E	8	2 8	2	J	MYB85
137	E	8	2 8	5	K	BHLH
138	E	8	2 8	5	L	BHLH
139	E	8	2 8	3	M	MYB15
140	E	8	2 8	1	N	COL
141	E	8	2 8	3	O	MYB15
142	E	8	2 8	5	P	BHLH
143	E	8	2 8	1	Q	COL
144	E	8	2 8	2	R	MYB85
145	E	9	3 9	1	A	COL
146	E	9	3 9	6	B	WOX11
147	E	9	3 9	3	C	MYB15
148	E	9	3 9	5	D	BHLH
149	E	9	3 9	5	E	BHLH
150	E	9	3 9	5	F	BHLH
151	E	9	3 9	4	G	WRKY59
152	E	9	3 9	3	H	MYB15
153	E	9	3 9	3	I	MYB15
154	E	9	3 9	4	J	WRKY59
155	E	9	3 9	2	K	MYB85
156	E	9	3 9	2	L	MYB85
157	E	9	3 9	4	M	WRKY59
158	E	9	3 9	6	N	WOX11
159	E	9	3 9	6	O	WOX11
160	E	9	3 9	1	P	COL
161	E	9	3 9	2	Q	MYB85
162	E	9	3 9	1	R	COL
163	E	10	4 10	3	A	MYB15
164	E	10	4 10	2	B	MYB85
165	E	10	4 10	2	C	MYB85
166	E	10	4 10	4	D	WRKY59
167	E	10	4 10	2	E	MYB85
168	E	10	4 10	5	F	BHLH
169	E	10	4 10	1	G	COL
170	E	10	4 10	3	H	MYB15
171	E	10	4 10	1	I	COL
172	E	10	4 10	6	J	WOX11
173	E	10	4 10	4	K	WRKY59
174	E	10	4 10	6	L	WOX11
175	E	10	4 10	6	M	WOX11
176	E	10	4 10	5	N	BHLH
177	E	10	4 10	5	O	BHLH
178	E	10	4 10	3	P	MYB15
179	E	10	4 10	4	Q	WRKY59
180	E	10	4 10	1	R	COL
181	E	11	5 11	4	A	WRKY59
182	E	11	5 11	4	B	WRKY59
183	E	11	5 11	1	C	COL
184	E	11	5 11	3	D	MYB15
185	E	11	5 11	6	E	WOX11
186	E	11	5 11	3	F	MYB15
187	E	11	5 11	5	G	BHLH
188	E	11	5 11	5	H	BHLH
189	E	11	5 11	6	I	WOX11
190	E	11	5 11	2	J	MYB85
191	E	11	5 11	3	K	MYB15
192	E	11	5 11	1	L	COL
193	E	11	5 11	2	M	MYB85
194	E	11	5 11	1	N	COL
195	E	11	5 11	6	O	WOX11
196	E	11	5 11	5	P	BHLH
197	E	11	5 11	4	Q	WRKY59
198	E	11	5 11	2	R	MYB85
199	E	12	6 12	3	A	MYB15
200	E	12	6 12	5	B	BHLH
201	E	12	6 12	6	C	WOX11
202	E	12	6 12	4	D	WRKY59
203	E	12	6 12	3	E	MYB15
204	E	12	6 12	5	F	BHLH
205	E	12	6 12	6	G	WOX11
206	E	12	6 12	5	H	BHLH
207	E	12	6 12	6	I	WOX11
