CO2;Nitrate;Iron;K;Fe;Mn;Mg;Zn;Cu;Na
ACO2;0.5 mM;-Fe;50497.1338947365;43.9966315789471;196.334968421051;18273.4509684209;99.5423789473678;28.5978105263156;1107.06524210526
ACO2;0.5 mM;-Fe;57805.0159259276;114.331074074077;206.700246913586;17563.7075432104;88.4935432098791;26.4834691358032;949.529259259286
ACO2;0.5 mM;-Fe;57834.4908474531;68.7351864406726;175.362847457613;17429.6570847444;92.5281355932131;29.9614915254214;927.043796610097
ACO2;0.5 mM;-Fe;59936.053043479;27.3333913043482;134.389173913045;15182.1803478263;97.9446521739143;47.8334347826093;939.964956521751
ACO2;0.5 mM;-Fe;58533.3879310364;63.9856896551745;247.831896551732;22009.2748275869;157.711206896557;35.1470689655184;1067.02896551728
ACO2;0.5 mM;-Fe;63814.7596774218;10.0627741935488;110.690516129037;14307.5877741941;78.8250645161321;20.1255483870976;1088.45674193553
ACO2;0.5 mM;-Fe;69654.8256923082;33.0882615384618;165.441307692309;17934.6447846155;92.8085384615392;26.6320153846156;1032.19235384616
ACO2;0.5 mM;-Fe;62487.4171428668;76.8813061224609;160.169387755127;15386.9391836759;89.6948571428711;25.6271020408203;760.270693877669
ACO2;0.5 mM;-Fe;61115.7883018859;118.326792452828;193.26709433962;18620.6929056601;93.6753773584891;29.5816981132071;998.875339622626
ACO2;0.5 mM;-Fe;61100.162692304;167.720653846144;185.233653846143;18241.8102307681;96.9950769230711;28.2902307692291;897.204461538408
ACO2;0.5 mM;-Fe;61141.9632911374;32.3362784810117;186.098582278475;17213.4589367083;99.6485316455666;27.7168101265814;890.23754430377
ACO2;0.5 mM;-Fe;64174.5479999976;57.2009999999978;203.933999999992;19274.7473999993;95.0033999999964;29.3465999999989;1066.92299999996
ACO2;0.5 mM;-Fe;51197.3539534861;23.0810232558129;207.121813953479;17661.8419534876;92.3240930232516;30.3697674418591;939.64060465112
ACO2;0.5 mM;-Fe;57108.8736111103;34.468506944444;227.854972222219;16845.3035833331;90.706597222221;29.0261111111107;957.498840277765
ACO2;0.5 mM;-Fe;58085.463982304;33.3691327433645;209.02053982302;17195.2994867266;91.3016548672615;26.8806902654882;868.060911504471
ACO2;0.5 mM;+Fe;52670.5550967762;72.1884129032286;195.650838709685;13853.4286967747;42.1661290322597;6.74658064516155;949.918554838746
