Statut en CO2;Concentration en nitrate;Statut en Fer;Tube;N%;C%
ACO2;0,5 mM;-Fe;1;5.473;33.569
ACO2;0,5 mM;-Fe;2;6.287;36.218
ACO2;0,5 mM;-Fe;3;5.755;35.994
ACO2;0,5 mM;-Fe;4;6.015;37.039
ACO2;0,5 mM;-Fe;5;5.922;36.675
ACO2;0,5 mM;-Fe;6;6.059;37.255
ACO2;0,5 mM;-Fe;7;6.192;36.579
ACO2;0,5 mM;-Fe;8;6.118;37.278
ACO2;0,5 mM;-Fe;9;6.044;37.106
ACO2;0,5 mM;-Fe;10;6.027;37.141
ACO2;0,5 mM;-Fe;11;6.09;36.663
ACO2;0,5 mM;-Fe;12;6.075;36.837
ACO2;0,5 mM;-Fe;13;5.727;34.874
ACO2;0,5 mM;-Fe;14;6.038;36.917
ACO2;0,5 mM;-Fe;15;5.958;36.132
ACO2;0,5 mM;+Fe;16;5.89;37.893
ACO2;0,5 mM;+Fe;17;5.275;39.863
ACO2;0,5 mM;+Fe;18;6.079;38.444
ACO2;0,5 mM;+Fe;19;5.268;38.048
ACO2;0,5 mM;+Fe;20;5.49;39.031
ACO2;0,5 mM;+Fe;21;5.565;37.891
ACO2;0,5 mM;+Fe;22;5.482;39.7
ACO2;0,5 mM;+Fe;23;5.826;38.745
ACO2;0,5 mM;+Fe;24;5.852;38.687
ACO2;0,5 mM;+Fe;25;NA;NA
ACO2;0,5 mM;+Fe;26;5.842;39.147
ACO2;0,5 mM;+Fe;27;6.186;38.966
ACO2;0,5 mM;+Fe;28;6.13;38.416
ACO2;0,5 mM;+Fe;29;5.768;37.898
ACO2;0,5 mM;+Fe;30;5.6;38.208
ACO2;10 mM;-Fe;31;5.976;34.295
ACO2;10 mM;-Fe;32;6.285;34.454
ACO2;10 mM;-Fe;33;6.28;34.398
ACO2;10 mM;-Fe;34;6.185;34.342
ACO2;10 mM;-Fe;35;5.851;34.273
ACO2;10 mM;-Fe;36;6.098;37.429
ACO2;10 mM;-Fe;37;6.15;34.729
ACO2;10 mM;-Fe;38;6.088;36.335
ACO2;10 mM;-Fe;39;5.963;35.667
ACO2;10 mM;-Fe;40;6.062;32.94
ACO2;10 mM;-Fe;41;6.114;34.806
ACO2;10 mM;-Fe;42;6.1875;33.9055
ACO2;10 mM;-Fe;43;6.15;36.143
ACO2;10 mM;-Fe;44;5.818;39.842
ACO2;10 mM;-Fe;45;NA;NA
ACO2;10 mM;+Fe;46;6.083;38.744
ACO2;10 mM;+Fe;47;5.806;37.503
ACO2;10 mM;+Fe;48;6.062;38.169
ACO2;10 mM;+Fe;49;6.205;38.758
ACO2;10 mM;+Fe;50;6.098;40.679
ACO2;10 mM;+Fe;51;6.089;38.606
ACO2;10 mM;+Fe;52;6.324;38.969
ACO2;10 mM;+Fe;53;6.078;39.561
ACO2;10 mM;+Fe;54;6.298;38.415
ACO2;10 mM;+Fe;55;6.085;40.102
ACO2;10 mM;+Fe;56;6.258;39.414
ACO2;10 mM;+Fe;57;6.186;38.536
ACO2;10 mM;+Fe;58;6.426;37.64
ACO2;10 mM;+Fe;59;6.158;38.868
ACO2;10 mM;+Fe;60;5.4;35.831
ECO2;0,5 mM;-Fe;61;4.739;39.409
ECO2;0,5 mM;-Fe;62;5.389;36.297
ECO2;0,5 mM;-Fe;63;5.387;36.35
ECO2;0,5 mM;-Fe;64;5.517;35.933
ECO2;0,5 mM;-Fe;65;5.746;35.827
ECO2;0,5 mM;-Fe;66;5.368;35.829
ECO2;0,5 mM;-Fe;67;5.518;37.784
ECO2;0,5 mM;-Fe;68;5.564;36.715
ECO2;0,5 mM;-Fe;69;4.984;38.158
ECO2;0,5 mM;-Fe;70;5.603;36.557
ECO2;0,5 mM;-Fe;71;4.612;38.758
ECO2;0,5 mM;-Fe;72;4.822;38.345
ECO2;0,5 mM;-Fe;73;4.697;39.486
ECO2;0,5 mM;-Fe;74;5.145;36.738
ECO2;0,5 mM;-Fe;75;4.383;41.183
ECO2;0,5 mM;+Fe;76;4.323;39.685
ECO2;0,5 mM;+Fe;77;4.528;40.114
